,Diagonal,Height,Width
0,30.0,11.52,4.02
1,31.2,12.48,4.3056
2,31.1,12.3778,4.6961
3,33.5,12.73,4.4555
4,34.0,12.444,5.134
5,34.7,13.6024,4.9274
6,34.5,14.1795,5.2785
7,35.0,12.67,4.69
8,35.1,14.0049,4.8438
9,36.2,14.2266,4.9594
10,36.2,14.2628,5.1042
11,36.2,14.3714,4.8146
12,36.4,13.7592,4.368
13,37.3,13.9129,5.0728
14,37.2,14.9544,5.1708
15,37.2,15.438,5.58
16,38.3,14.8604,5.2854
17,38.5,14.938,5.1975
18,38.6,15.633,5.1338
19,38.7,14.4738,5.7276
20,39.5,15.1285,5.5695
21,39.2,15.9936,5.3704
22,39.7,15.5227,5.2801
23,40.6,15.4686,6.1306
24,40.5,16.2405,5.589
25,40.9,16.36,6.0532
26,40.6,16.3618,6.09
27,41.5,16.517,5.8515
28,41.6,16.8896,6.1984
29,42.6,18.957,6.603
30,44.1,18.0369,6.3063
31,44.0,18.084,6.292
32,45.3,18.7542,6.7497
33,45.9,18.6354,6.7473
34,46.5,17.6235,6.3705
35,16.2,4.1472,2.268
36,20.3,5.2983,2.8217
37,21.2,5.5756,2.9044
38,22.2,5.6166,3.1746
39,22.2,6.216,3.5742
40,22.8,6.4752,3.3516
41,23.1,6.1677,3.3957
42,23.7,6.1146,3.2943
43,24.7,5.8045,3.7544
44,24.3,6.6339,3.5478
45,25.3,7.0334,3.8203
46,25.0,6.55,3.325
47,25.0,6.4,3.8
48,27.2,7.5344,3.8352
49,26.7,6.9153,3.6312
50,26.8,7.3968,4.1272
51,27.9,7.0866,3.906
52,29.2,8.8768,4.4968
53,30.6,8.568,4.7736
54,35.0,9.485,5.355
55,28.7,8.3804,4.2476
56,29.3,8.1454,4.2485
57,30.8,8.778,4.6816
58,34.0,10.744,6.562
59,39.6,11.7612,6.5736
60,43.5,12.354,6.525
61,16.5,6.8475,2.3265
62,17.4,6.5772,2.3142
63,19.8,7.4052,2.673
64,21.3,8.3922,2.9181
65,22.4,8.8928,3.2928
66,23.2,8.5376,3.2944
67,23.2,9.396,3.4104
68,24.1,9.7364,3.1571
69,25.8,10.3458,3.6636
70,28.0,11.088,4.144
71,29.0,11.368,4.234
72,8.8,2.112,1.408
73,14.7,3.528,1.9992
74,16.0,3.824,2.432
75,17.2,4.5924,2.6316
76,18.5,4.588,2.9415
77,19.2,5.2224,3.3216
78,19.4,5.1992,3.1234
79,20.2,5.6358,3.0502
80,20.8,5.1376,3.0368
81,21.0,5.082,2.772
82,22.5,5.6925,3.555
83,22.5,5.9175,3.3075
84,22.5,5.6925,3.6675
85,22.8,6.384,3.534
86,23.5,6.11,3.4075
87,23.5,5.64,3.525
88,23.5,6.11,3.525
89,23.5,5.875,3.525
90,23.5,5.5225,3.995
91,24.0,5.856,3.624
92,24.0,6.792,3.624
93,24.2,5.9532,3.63
94,24.5,5.2185,3.626
95,25.0,6.275,3.725
96,25.5,7.293,3.723
97,25.5,6.375,3.825
98,26.2,6.7334,4.1658
99,26.5,6.4395,3.6835
100,27.0,6.561,4.239
101,28.0,7.168,4.144
102,28.7,8.323,5.1373
103,28.9,7.1672,4.335
104,28.9,7.0516,4.335
105,28.9,7.2828,4.5662
106,29.4,7.8204,4.2042
107,30.1,7.5852,4.6354
108,31.6,7.6156,4.7716
109,34.0,10.03,6.018
110,36.5,10.2565,6.3875
111,37.3,11.4884,7.7957
112,39.0,10.881,6.864
113,38.3,10.6091,6.7408
114,39.4,10.835,6.2646
115,39.3,10.5717,6.3666
116,41.4,11.1366,7.4934
117,41.4,11.1366,6.003
118,41.3,12.4313,7.3514
119,42.3,11.9286,7.1064
120,42.5,11.73,7.225
121,42.4,12.3808,7.4624
122,42.5,11.135,6.63
123,44.6,12.8002,6.8684
124,45.2,11.9328,7.2772
125,45.5,12.5125,7.4165
126,46.0,12.604,8.142
127,46.6,12.4888,7.5958
128,34.8,5.568,3.3756
129,37.8,5.7078,4.158
130,38.8,5.9364,4.3844
131,39.8,6.2884,4.0198
132,40.5,7.29,4.5765
133,41.0,6.396,3.977
134,45.5,7.28,4.3225
135,45.5,6.825,4.459
136,45.8,7.786,5.1296
137,48.0,6.96,4.896
138,48.7,7.792,4.87
139,51.2,7.68,5.376
140,55.1,8.9262,6.1712
141,59.7,10.6863,6.9849
142,64.0,9.6,6.144
143,64.0,9.6,6.144
144,68.0,10.812,7.48
145,10.8,1.7388,1.0476
146,11.6,1.972,1.16
147,11.6,1.7284,1.1484
148,12.0,2.196,1.38
149,12.4,2.0832,1.2772
150,12.6,1.9782,1.2852
151,13.1,2.2139,1.2838
152,13.1,2.2139,1.1659
153,13.2,2.2044,1.1484
154,13.4,2.0904,1.3936
155,13.5,2.43,1.269
156,13.8,2.277,1.2558
157,15.2,2.8728,2.0672
158,16.2,2.9322,1.8792
